+-------+-----+-----+-----+-----+--------+------------------------------------------+---------+--------+--------+--------+--------+--------+--------+--------+------------+------------+------------+------------+
| COUNT | 2XX | 3XX | 4XX | 5XX | METHOD |                   URI                    |   SUM   |  AVG   |  MIN   |  MAX   |  P90   |  P95   |  P99   | STDDEV | MIN(BODY)  | MAX(BODY)  | SUM(BODY)  | AVG(BODY)  |
| 1     | 1   | 0   | 0   | 0   | POST   | /user/1577/card                          | 0.016   | 0.016  | 0.016  | 0.016  | 0.016  | 0.016  | 0.016  | 0.000  | 171.000    | 171.000    | 171.000    | 171.000    |
| 1     | 1   | 0   | 0   | 0   | POST   | /user/1577/card/addexp/1579              | 0.016   | 0.016  | 0.016  | 0.016  | 0.016  | 0.016  | 0.016  | 0.000  | 300.000    | 300.000    | 300.000    | 300.000    |
| 1     | 1   | 0   | 0   | 0   | GET    | /user/5529921282/gacha/index             | 0.016   | 0.016  | 0.016  | 0.016  | 0.016  | 0.016  | 0.016  | 0.000  | 8663.000   | 8663.000   | 8663.000   | 8663.000   |
| 1     | 1   | 0   | 0   | 0   | POST   | /user/3349025359/reward                  | 0.012   | 0.012  | 0.012  | 0.012  | 0.012  | 0.012  | 0.012  | 0.000  | 216.000    | 216.000    | 216.000    | 216.000    |
| 1     | 1   | 0   | 0   | 0   | POST   | /user/3700544641/card                    | 0.012   | 0.012  | 0.012  | 0.012  | 0.012  | 0.012  | 0.012  | 0.000  | 196.000    | 196.000    | 196.000    | 196.000    |
| 1     | 1   | 0   | 0   | 0   | GET    | /user/1577/item                          | 0.012   | 0.012  | 0.012  | 0.012  | 0.012  | 0.012  | 0.012  | 0.000  | 1521.000   | 1521.000   | 1521.000   | 1521.000   |
| 1     | 1   | 0   | 0   | 0   | GET    | /user/1478/item                          | 0.012   | 0.012  | 0.012  | 0.012  | 0.012  | 0.012  | 0.012  | 0.000  | 1413.000   | 1413.000   | 1413.000   | 1413.000   |
| 1     | 1   | 0   | 0   | 0   | POST   | /user/1478/card/addexp/1481              | 0.012   | 0.012  | 0.012  | 0.012  | 0.012  | 0.012  | 0.012  | 0.000  | 300.000    | 300.000    | 300.000    | 300.000    |
| 1     | 1   | 0   | 0   | 0   | GET    | /user/5529921282/present/index/1         | 0.012   | 0.012  | 0.012  | 0.012  | 0.012  | 0.012  | 0.012  | 0.000  | 7246.000   | 7246.000   | 7246.000   | 7246.000   |
| 1     | 1   | 0   | 0   | 0   | POST   | /user/6479030111/reward                  | 0.012   | 0.012  | 0.012  | 0.012  | 0.012  | 0.012  | 0.012  | 0.000  | 215.000    | 215.000    | 215.000    | 215.000    |
| 1     | 1   | 0   | 0   | 0   | POST   | /admin/user/3700544641/ban               | 0.012   | 0.012  | 0.012  | 0.012  | 0.012  | 0.012  | 0.012  | 0.000  | 178.000    | 178.000    | 178.000    | 178.000    |
| 1     | 1   | 0   | 0   | 0   | POST   | /user/5529921282/reward                  | 0.008   | 0.008  | 0.008  | 0.008  | 0.008  | 0.008  | 0.008  | 0.000  | 216.000    | 216.000    | 216.000    | 216.000    |
| 1     | 1   | 0   | 0   | 0   | GET    | /user/3349025359/present/index/1         | 0.008   | 0.008  | 0.008  | 0.008  | 0.008  | 0.008  | 0.008  | 0.000  | 7241.000   | 7241.000   | 7241.000   | 7241.000   |
| 1     | 1   | 0   | 0   | 0   | PUT    | /admin/master                            | 0.008   | 0.008  | 0.008  | 0.008  | 0.008  | 0.008  | 0.008  | 0.000  | 58.000     | 58.000     | 58.000     | 58.000     |
| 1     | 1   | 0   | 0   | 0   | POST   | /user/1688185485/reward                  | 0.008   | 0.008  | 0.008  | 0.008  | 0.008  | 0.008  | 0.008  | 0.000  | 216.000    | 216.000    | 216.000    | 216.000    |
| 2     | 2   | 0   | 0   | 0   | GET    | /user/1706/present/index/1               | 0.008   | 0.004  | 0.004  | 0.004  | 0.004  | 0.004  | 0.004  | 0.000  | 1938.000   | 5180.000   | 7118.000   | 3559.000   |
| 1     | 1   | 0   | 0   | 0   | DELETE | /admin/logout                            | 0.008   | 0.008  | 0.008  | 0.008  | 0.008  | 0.008  | 0.008  | 0.000  | 0.000      | 0.000      | 0.000      | 0.000      |
| 4     | 2   | 0   | 2   | 0   | GET    | /user/3700544641/home                    | 0.008   | 0.002  | 0.004  | 0.004  | 0.004  | 0.004  | 0.004  | 0.002  | 42.000     | 389.000    | 862.000    | 215.500    |
| 2     | 2   | 0   | 0   | 0   | GET    | /user/1577/present/index/1               | 0.004   | 0.002  | 0.004  | 0.004  | 0.004  | 0.004  | 0.004  | 0.002  | 1937.000   | 5180.000   | 7117.000   | 3558.500   |
| 2     | 2   | 0   | 0   | 0   | GET    | /user/3700544641/present/index/1         | 0.004   | 0.002  | 0.000  | 0.004  | 0.004  | 0.004  | 0.004  | 0.002  | 31.000     | 13066.000  | 13097.000  | 6548.500   |
| 1     | 1   | 0   | 0   | 0   | GET    | /admin/master                            | 0.004   | 0.004  | 0.004  | 0.004  | 0.004  | 0.004  | 0.004  | 0.000  | 118556.000 | 118556.000 | 118556.000 | 118556.000 |
| 1     | 1   | 0   | 0   | 0   | GET    | /user/5529921282/home                    | 0.004   | 0.004  | 0.004  | 0.004  | 0.004  | 0.004  | 0.004  | 0.000  | 388.000    | 388.000    | 388.000    | 388.000    |
| 1     | 1   | 0   | 0   | 0   | GET    | /user/6479030111/home                    | 0.004   | 0.004  | 0.004  | 0.004  | 0.004  | 0.004  | 0.004  | 0.000  | 388.000    | 388.000    | 388.000    | 388.000    |
| 1     | 1   | 0   | 0   | 0   | GET    | /user/3349025359/home                    | 0.004   | 0.004  | 0.004  | 0.004  | 0.004  | 0.004  | 0.004  | 0.000  | 390.000    | 390.000    | 390.000    | 390.000    |
| 1     | 1   | 0   | 0   | 0   | POST   | /user/3700544641/reward                  | 0.004   | 0.004  | 0.004  | 0.004  | 0.004  | 0.004  | 0.004  | 0.000  | 216.000    | 216.000    | 216.000    | 216.000    |
| 1     | 1   | 0   | 0   | 0   | GET    | /user/1478/home                          | 0.004   | 0.004  | 0.004  | 0.004  | 0.004  | 0.004  | 0.004  | 0.000  | 342.000    | 342.000    | 342.000    | 342.000    |
| 1     | 1   | 0   | 0   | 0   | GET    | /user/1577/home                          | 0.004   | 0.004  | 0.004  | 0.004  | 0.004  | 0.004  | 0.004  | 0.000  | 342.000    | 342.000    | 342.000    | 342.000    |
| 1     | 1   | 0   | 0   | 0   | GET    | /user/1688185485/home                    | 0.004   | 0.004  | 0.004  | 0.004  | 0.004  | 0.004  | 0.004  | 0.000  | 390.000    | 390.000    | 390.000    | 390.000    |
| 1     | 1   | 0   | 0   | 0   | GET    | /user/1706/home                          | 0.000   | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 342.000    | 342.000    | 342.000    | 342.000    |
| 2     | 2   | 0   | 0   | 0   | GET    | /user/1478/present/index/1               | 0.000   | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 1937.000   | 5180.000   | 7117.000   | 3558.500   |
| 1     | 0   | 0   | 1   | 0   | GET    | /user/1831/home                          | 0.000   | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 55.000     | 55.000     | 55.000     | 55.000     |
+-------+-----+-----+-----+-----+--------+------------------------------------------+---------+--------+--------+--------+--------+--------+--------+--------+------------+------------+------------+------------+
